iter	Passed	Remaining
0	34	34351
1	60	30136
2	92	30659
3	134	33594
4	163	32467
5	189	31417
6	213	30331
7	235	29232
8	258	28465
9	284	28157
10	308	27779
11	333	27495
12	356	27082
13	385	27181
14	417	27397
15	441	27164
16	466	26989
17	491	26832
18	516	26652
19	543	26628
20	563	26288
21	597	26570
22	620	26357
23	648	26361
24	670	26168
25	695	26045
26	719	25917
27	744	25851
28	767	25702
29	790	25567
30	815	25492
31	840	25426
32	864	25336
33	888	25237
34	914	25224
35	938	25121
36	962	25057
37	990	25069
38	1022	25201
39	1054	25303
40	1076	25176
41	1099	25067
42	1119	24917
43	1141	24796
44	1162	24663
45	1183	24536
46	1204	24415
47	1225	24299
48	1250	24261
49	1278	24284
50	1304	24265
51	1326	24178
52	1348	24102
53	1370	24013
54	1393	23939
55	1414	23838
56	1434	23735
57	1456	23659
58	1479	23599
59	1501	23517
60	1525	23477
61	1548	23421
62	1570	23351
63	1591	23269
64	1612	23188
65	1634	23132
66	1657	23075
67	1678	23007
68	1700	22948
69	1722	22887
70	1744	22826
71	1765	22749
72	1785	22668
73	1805	22598
74	1826	22523
75	1847	22460
76	1868	22393
77	1889	22337
78	1910	22272
79	1930	22204
80	1952	22157
81	1973	22091
82	1994	22032
83	2012	21942
84	2031	21870
85	2052	21816
86	2072	21754
87	2094	21705
88	2114	21641
89	2135	21589
90	2156	21538
91	2176	21479
92	2197	21427
93	2217	21375
94	2238	21320
95	2259	21275
96	2279	21219
97	2299	21166
98	2319	21109
99	2340	21061
100	2357	20987
101	2377	20927
102	2397	20880
103	2418	20834
104	2437	20776
105	2457	20728
106	2478	20682
107	2502	20664
108	2522	20621
109	2544	20584
110	2565	20546
111	2587	20513
112	2608	20478
113	2628	20428
114	2650	20395
115	2670	20350
116	2692	20321
117	2714	20291
118	2735	20254
119	2757	20219
120	2777	20177
121	2799	20149
122	2819	20105
123	2840	20068
124	2860	20025
125	2881	19987
126	2901	19947
127	2922	19907
128	2943	19874
129	2963	19832
130	2984	19799
131	3005	19761
132	3025	19722
133	3045	19684
134	3065	19643
135	3086	19610
136	3106	19569
137	3128	19543
138	3148	19501
139	3169	19467
140	3190	19434
141	3209	19394
142	3230	19359
143	3251	19325
144	3270	19285
145	3290	19249
146	3311	19215
